image_path,solution
train-images/image_train_1.png,000073
train-images/image_train_2.png,000372
train-images/image_train_3.png,000454
train-images/image_train_4.png,000634
train-images/image_train_5.png,000716
train-images/image_train_6.png,000821
train-images/image_train_7.png,000986
train-images/image_train_8.png,001222
train-images/image_train_9.png,001330
train-images/image_train_10.png,001361
train-images/image_train_11.png,001377
train-images/image_train_12.png,001529
train-images/image_train_13.png,001653
train-images/image_train_14.png,001991
train-images/image_train_15.png,002172
train-images/image_train_16.png,002288
train-images/image_train_17.png,002380
train-images/image_train_18.png,002994
train-images/image_train_19.png,003363
train-images/image_train_20.png,003486
train-images/image_train_21.png,003565
train-images/image_train_22.png,003731
train-images/image_train_23.png,003737
train-images/image_train_24.png,004113
train-images/image_train_25.png,004148
train-images/image_train_26.png,004206
train-images/image_train_27.png,004239
train-images/image_train_28.png,004643
train-images/image_train_29.png,004701
train-images/image_train_30.png,004851
train-images/image_train_31.png,005136
train-images/image_train_32.png,005158
train-images/image_train_33.png,005193
train-images/image_train_34.png,005210
train-images/image_train_35.png,005245
train-images/image_train_36.png,005317
train-images/image_train_37.png,005389
train-images/image_train_38.png,005415
train-images/image_train_39.png,005510
train-images/image_train_40.png,005551
train-images/image_train_41.png,005940
train-images/image_train_42.png,006033
train-images/image_train_43.png,006168
train-images/image_train_44.png,006323
train-images/image_train_45.png,006561
train-images/image_train_46.png,006573
train-images/image_train_47.png,006607
train-images/image_train_48.png,006763
train-images/image_train_49.png,006851
train-images/image_train_50.png,006934
train-images/image_train_51.png,007062
train-images/image_train_52.png,007219
train-images/image_train_53.png,007454
train-images/image_train_54.png,007482
train-images/image_train_55.png,007641
train-images/image_train_56.png,007717
train-images/image_train_57.png,007768
train-images/image_train_58.png,008508
train-images/image_train_59.png,008689
train-images/image_train_60.png,008751
train-images/image_train_61.png,009321
train-images/image_train_62.png,009515
train-images/image_train_63.png,009577
train-images/image_train_64.png,009613
train-images/image_train_65.png,009685
train-images/image_train_66.png,009707
train-images/image_train_67.png,009737
train-images/image_train_68.png,010096
train-images/image_train_69.png,010146
train-images/image_train_70.png,010339
train-images/image_train_71.png,010415
train-images/image_train_72.png,010473
train-images/image_train_73.png,010706
train-images/image_train_74.png,011250
train-images/image_train_75.png,011320
train-images/image_train_76.png,011692
train-images/image_train_77.png,012293
train-images/image_train_78.png,012414
train-images/image_train_79.png,012431
train-images/image_train_80.png,012509
train-images/image_train_81.png,012576
train-images/image_train_82.png,012915
train-images/image_train_83.png,012942
train-images/image_train_84.png,013485
train-images/image_train_85.png,014331
train-images/image_train_86.png,014406
train-images/image_train_87.png,014492
train-images/image_train_88.png,014581
train-images/image_train_89.png,014868
train-images/image_train_90.png,014884
train-images/image_train_91.png,014897
train-images/image_train_92.png,014993
train-images/image_train_93.png,015036
train-images/image_train_94.png,015166
train-images/image_train_95.png,015293
train-images/image_train_96.png,015401
train-images/image_train_97.png,015402
train-images/image_train_98.png,015631
train-images/image_train_99.png,015790
train-images/image_train_100.png,016027
train-images/image_train_101.png,016034
train-images/image_train_102.png,016073
train-images/image_train_103.png,016762
train-images/image_train_104.png,016928
train-images/image_train_105.png,017137
train-images/image_train_106.png,017463
train-images/image_train_107.png,018144
train-images/image_train_108.png,018190
train-images/image_train_109.png,018567
train-images/image_train_110.png,018571
train-images/image_train_111.png,018691
train-images/image_train_112.png,018753
train-images/image_train_113.png,018757
train-images/image_train_114.png,018779
train-images/image_train_115.png,018875
train-images/image_train_116.png,018912
train-images/image_train_117.png,019049
train-images/image_train_118.png,019109
train-images/image_train_119.png,019175
train-images/image_train_120.png,019369
train-images/image_train_121.png,019483
train-images/image_train_122.png,019943
train-images/image_train_123.png,020281
train-images/image_train_124.png,020294
train-images/image_train_125.png,020350
train-images/image_train_126.png,020490
train-images/image_train_127.png,020804
train-images/image_train_128.png,020832
train-images/image_train_129.png,021127
train-images/image_train_130.png,021954
train-images/image_train_131.png,022011
train-images/image_train_132.png,022040
train-images/image_train_133.png,022074
train-images/image_train_134.png,022382
train-images/image_train_135.png,022391
train-images/image_train_136.png,022802
train-images/image_train_137.png,022867
train-images/image_train_138.png,022932
train-images/image_train_139.png,022943
train-images/image_train_140.png,023054
